,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,=+/-
1,Miami Heat,11,8,3,0.727,48.5,110,38,81.7,46.5,13.1,35.2,37.2,20.9,25.2,83,7.4,32,39.4,25.2,12.9,6.9,4.2,4.9,20.9,23.1,1.2
2,Boston Celtics,9,7,2,0.778,48,107.6,37.9,84.1,45,12.2,36.3,33.6,19.6,23.9,81.9,7.9,37.4,45.3,22.2,15.1,6.7,5.2,4.9,22.1,21.2,6.2
2,Los Angeles Lakers,9,7,2,0.778,48,111.7,40.8,82.3,49.5,11.2,33.4,33.6,18.9,25.9,73,10.4,32.7,43.1,25.7,15.8,7.3,4.7,3.1,22.2,22.4,6
4,Toronto Raptors,5,5,0,1,50,119.2,44.2,93.4,47.3,17.8,43.2,41.2,13,18.6,69.9,8.4,39.4,47.8,28.4,13,7.6,5.6,4.6,22.8,18.4,12.8
5,Denver Nuggets,10,4,6,0.4,48,107.9,38.8,83.8,46.3,12.1,33.8,35.8,18.2,22.2,82,10.8,30.6,41.4,21.5,14.5,6.1,4.4,4.1,23.1,22.6,-4.4
5,LA Clippers,6,4,2,0.667,48.8,113.5,40.3,85,47.5,11.3,31.2,36.4,21.5,25.8,83.2,7.5,35.2,42.7,21.2,12.2,7.7,4,3,22.7,22,4
7,Milwaukee Bucks,4,3,1,0.75,49.3,115,43.3,88.3,49,14,37.5,37.3,14.5,20.3,71.6,7,38.5,45.5,26,13.3,9.3,4.3,3.5,20.3,18.8,4.3
8,Dallas Mavericks,3,1,2,0.333,48,116,39.7,84.7,46.9,13.3,36.3,36.7,23.3,31.3,74.5,6.7,33.7,40.3,20.7,14.3,7.3,4,3,24,26.3,-12.7
8,Houston Rockets,6,1,5,0.167,48.8,106.3,37.3,85.8,43.5,17,48.8,34.8,14.7,19.8,73.9,6.2,32.8,39,19.5,16.2,9.3,3.5,5,22.5,19,-5.8
8,Orlando Magic,3,1,2,0.333,48,107.3,37.3,90.7,41.2,12.7,38.3,33,20,23.7,84.5,7.3,38.3,45.7,23,12.7,6,3,3.7,22.3,21.3,-5.7
8,Portland Trail Blazers,3,1,2,0.333,48,103.3,36.3,85.7,42.4,11.3,30,37.8,19.3,25,77.3,8.3,36.3,44.7,17.3,17.3,7,4,4,24.3,21.7,-8.3
8,Utah Jazz,4,1,3,0.25,49.3,108.5,40,85.3,46.9,15,39.8,37.7,13.5,17.8,76.1,10.3,32.5,42.8,22.3,13.3,6,4.3,4.8,18.5,19.3,-0.8
13,Brooklyn Nets,2,0,2,0,48,104.5,38,88.5,42.9,13.5,41.5,32.5,15,21.5,69.8,8,37.5,45.5,29,15.5,3.5,4,6,27,21.5,-14.5
13,Indiana Pacers,2,0,2,0,48,101,37,82,45.1,13,35,37.1,14,19.5,71.8,6,29.5,35.5,21.5,14.5,9,5.5,3,23.5,15.5,-10.5
13,Oklahoma City Thunder,4,0,4,0,48,97,34,82.8,41.1,11.8,36.8,32,17.3,22,78.4,9.3,40.3,49.5,18,16.8,3.3,4.8,3.5,16.8,23,-16
13,Philadelphia 76ers,2,0,2,0,48,101,35,79.5,44,7,24,29.2,24,30,80,10.5,33.5,44,22,13.5,3.5,3,4.5,22.5,24.5,-17.5
