,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,=+/-
1,Phoenix Suns,4,4,0,1,48,122.8,45,89.3,50.4,13,31,41.9,19.8,21.8,90.8,9.5,34.8,44.3,27.3,11,6,2.5,4.5,21,20.8,8.8
1,Toronto Raptors,4,4,0,1,48,113.8,37.3,83,44.9,14.5,37,39.2,24.8,33,75,8.3,38,46.3,24,15.5,7.8,4.5,7,22.5,25,6.5
3,Brooklyn Nets,4,3,1,0.75,48,117.8,43.3,93,46.5,15.5,43.8,35.4,15.8,20,78.8,7.5,34.8,42.3,27.8,14,7,4.3,5,23.3,21.3,-2.5
3,LA Clippers,4,3,1,0.75,48,118.3,42.5,84,50.6,14.8,34.5,42.8,18.5,23.5,78.7,7,34.5,41.5,23,13,6.3,2.8,3,24.5,22.3,7.8
3,Portland Trail Blazers,4,3,1,0.75,48,129.3,46,96,47.9,17.5,39.5,44.3,19.8,22.3,88.8,12,29,41,26,9.5,8.5,4.5,5,23.8,22.3,2.5
6,Boston Celtics,4,2,2,0.5,48,115.5,41.3,89.5,46.1,13.3,38.3,34.6,19.8,25,79,11.8,36,47.8,22.3,15.5,7.5,4.5,5.8,25.8,19.5,6
6,Dallas Mavericks,4,2,2,0.5,49.3,113.3,39.5,89.3,44.3,8.8,30.5,28.7,25.5,30.5,83.6,10.5,36.3,46.8,22.5,11,5.3,3.5,4.3,21,24.8,-4
6,Denver Nuggets,4,2,2,0.5,49.3,120.8,43.3,85.5,50.6,12.5,30.5,41,21.8,26.5,82.1,10.5,31.5,42,27,14.3,7.8,5.3,4.8,21.3,23.5,0.8
6,Houston Rockets,4,2,2,0.5,49.3,122.3,41.3,92,44.8,17.5,51.5,34,22.3,28.5,78.1,6,35.8,41.8,22.3,13,10.5,4.8,4,23.5,24.8,-1.3
6,Indiana Pacers,4,2,2,0.5,48,102.5,38.5,90.3,42.7,9.5,30.3,31.4,16,20.5,78,8,37.5,45.5,21.3,14.3,8,6.8,6.5,20.3,19.8,-5.5
6,Philadelphia 76ers,4,2,2,0.5,48,120.8,45,89.8,50.1,13,30.5,42.6,17.8,23.3,76.3,12,36.8,48.8,25.5,16.5,7.8,4,6.3,23.3,21.3,9.5
6,San Antonio Spurs,4,2,2,0.5,48,118,40.3,86.8,46.4,11.3,25.8,43.7,26.3,32.5,80.8,12.3,34.8,47,22.3,15.8,7,6.5,4.8,22.5,25.3,0.8
13,Los Angeles Lakers,4,1,3,0.25,48,104,36.8,85.3,43.1,8.5,31,27.4,22,29.8,73.9,9.8,32.8,42.5,19.5,18,11,6.8,4.3,21.3,26.5,-7
13,Miami Heat,4,1,3,0.25,48,112,37,82,45.1,14.5,38.8,37.4,23.5,27.8,84.7,8,33.3,41.3,23.8,16.5,8.3,2.5,3,23.5,24.8,-3
13,Milwaukee Bucks,4,1,3,0.25,49.3,120,43.8,94,46.5,13.8,39.5,34.8,18.8,27,69.4,11,43.5,54.5,24.8,16.5,5.8,4.5,2.8,24.3,22.8,-2
13,Oklahoma City Thunder,4,1,3,0.25,49.3,100.3,35.3,93,37.9,11.3,37.5,30,18.5,23.5,78.7,8.8,35.3,44,19.5,14.8,9,3,4,23.8,22,-10.3
13,Orlando Magic,4,1,3,0.25,49.3,114.3,40.8,89.8,45.4,11.5,36,31.9,21.3,25.5,83.3,9.8,36.3,46,23.3,14.3,5.8,2.8,4,23.5,20.3,-2.8
13,Sacramento Kings,4,1,3,0.25,48,119.5,45.8,92.5,49.5,13.3,38.3,34.6,14.8,19.5,75.6,9.8,34,43.8,27,15.8,9,2,3,23.5,20.8,-6
13,Utah Jazz,4,1,3,0.25,50.5,110.8,39,91.8,42.5,13.5,39.3,34.4,19.3,24,80.2,12.3,32.3,44.5,23.3,18.8,9,4.5,5,23.3,22,-6
13,Washington Wizards,4,1,3,0.25,48,104,37.5,89.5,41.9,9.5,30,31.7,19.5,24,81.3,12.8,33.8,46.5,23.3,15.8,8,4.8,5.5,23.8,20,-7.8
21,Memphis Grizzlies,4,0,4,0,49.3,112,39.8,92,43.2,12.5,38.8,32.3,20,26.5,75.5,9.3,32,41.3,23.8,15.8,8.3,5.3,5.3,28.3,25.5,-8.3
21,New Orleans Pelicans,4,0,4,0,48,115.3,43.8,84,52.1,10,30.5,32.8,17.8,24.3,73.2,7,31,38,25.5,16.8,5.5,3.5,3.3,22.3,23,-12.5
