,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,=+/-
1,Los Angeles Lakers,12,9,3,0.75,48,113.7,41.3,85.3,48.4,12.8,34.8,36.7,18.4,23.6,78.1,10.7,34.2,44.8,25.6,15.1,8.6,5.8,3.1,23,22.4,7.5
2,Miami Heat,10,6,4,0.6,48.5,110,37.4,82.4,45.4,12.4,35.9,34.5,22.8,27.8,82,8.2,35.3,43.5,24.6,13.5,6.9,3.5,4,18.7,22.1,2.9
3,Denver Nuggets,9,5,4,0.556,48.6,106.9,38.9,81.1,47.9,12.4,30.8,40.4,16.7,20.6,81.1,7.6,32.2,39.8,23.7,13.3,6.2,3.6,3.9,21.7,21.4,0.1
4,Houston Rockets,6,4,2,0.667,48,109,37.5,85.7,43.8,16.8,44.7,37.7,17.2,20.5,83.7,7.2,31.5,38.7,23.2,10.7,8.8,3.5,4.8,21.8,18.2,7.3
5,Boston Celtics,8,3,5,0.375,49.9,111.4,39.4,85.9,45.9,12.6,36.5,34.6,20,24.6,81.2,9.8,35.4,45.1,23.1,12.6,6.8,4.4,4.6,22.5,22.9,3.6
5,LA Clippers,7,3,4,0.429,48,114.4,41.4,87.6,47.3,12.7,34.3,37.1,18.9,24.6,76.7,11.1,34,45.1,21.1,13.7,7.3,3.4,5,23.1,22.6,4.4
5,Oklahoma City Thunder,3,3,0,1,49.7,113.3,40.3,89,45.3,12.3,36.3,33.9,20.3,26.7,76.3,8.7,41.7,50.3,17.7,17.3,8,3,4.3,17.7,23,6.3
8,Milwaukee Bucks,6,2,4,0.333,48,108.5,38,86.3,44,12.8,36.8,34.8,19.7,27,72.8,11,36.5,47.5,23.2,16,5.8,4.2,3.7,22.7,22.8,-0.8
8,Toronto Raptors,6,2,4,0.333,48,101.2,34.8,84.3,41.3,12,37.8,31.7,19.5,23.5,83,8,34,42,21.8,13.2,6.7,5.3,5.3,22.2,21.8,-3.2
8,Utah Jazz,3,2,1,0.667,48,120,39.7,77.3,51.3,16.7,34,49,24,30.7,78.3,8,31,39,20.3,10.3,6.3,1.7,4.3,19.7,24,9
11,Dallas Mavericks,3,1,2,0.333,49.7,118,44.7,93.7,47.7,13.7,38.7,35.3,15,21.7,69.2,8.7,37.3,46,22.3,11,5.7,3.3,3.7,21,22.7,-6.7
12,Brooklyn Nets,2,0,2,0,48,107,34.5,94,36.7,17.5,50.5,34.7,20.5,27.5,74.5,10.5,32.5,43,22.5,13.5,6.5,5,5,15.5,23.5,-26.5
12,Indiana Pacers,2,0,2,0,48,100.5,36,78.5,45.9,11,29,37.9,17.5,21,83.3,5.5,32,37.5,23.5,16,9.5,5.5,5.5,23,16,-10.5
12,Orlando Magic,2,0,2,0,48,106.5,37,85.5,43.3,18.5,42,44,14,17,82.4,5.5,33.5,39,25,17.5,8,3.5,4,19,19.5,-14.5
12,Philadelphia 76ers,2,0,2,0,48,100,31.5,88.5,35.6,9,36.5,24.7,28,34,82.4,14,34,48,13,10.5,6.5,6,6.5,22,24,-6
12,Portland Trail Blazers,2,0,2,0,48,111.5,39.5,92,42.9,12,31.5,38.1,20.5,25,82,12,28,40,18.5,14,8,3,8.5,26,24.5,-14
