,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,=+/-
1,Indiana Pacers,4,4,0,1,48,118,45.3,88,51.4,14.3,34.5,41.3,13.3,16.8,79.1,7.8,32,39.8,29.3,14.3,10.3,3.8,4.5,22.5,20.8,9.8
1,Phoenix Suns,4,4,0,1,48,121.8,44,90.8,48.5,13,33.8,38.5,20.8,23.3,89.2,9.3,40.8,50,28,13.3,7,4.8,4,21.5,21.3,17.5
3,Boston Celtics,4,3,1,0.75,49.3,122.3,43,88.8,48.5,14.5,36,40.3,21.8,26.8,81.3,9.5,36.5,46,26.8,15,9,7.5,4.3,20.5,22.8,8.8
3,Oklahoma City Thunder,4,3,1,0.75,49.3,115,40,84.3,47.5,14.8,35.8,41.3,20.3,26,77.9,10.3,35.3,45.5,21,16.5,6.8,5,3,22.5,22.8,6.8
3,Portland Trail Blazers,4,3,1,0.75,49.3,122.8,43.8,91.8,47.7,13.3,34.8,38.1,22,27.3,80.7,10,37,47,22,12.5,7.5,5.5,3.3,24.8,24.3,2.8
3,San Antonio Spurs,4,3,1,0.75,48,124.3,46.3,91.3,50.7,11,27.3,40.4,20.8,25,83,9,36.8,45.8,29,14.8,9,4.8,3.5,18.8,21,7.3
3,Toronto Raptors,4,3,1,0.75,48,108,38,83.5,45.5,14.3,36.5,39,17.8,22.5,78.9,8.5,39,47.5,24,20.3,10,6,7,23.3,22.3,2.5
8,Brooklyn Nets,4,2,2,0.5,48,122,44.3,90.8,48.8,13.8,37,37.2,19.8,26.8,73.8,10.5,33.8,44.3,27.8,12.5,5.8,3.5,4.3,23.8,25.3,2.5
8,Houston Rockets,4,2,2,0.5,48,108.3,34.8,85.3,40.8,17.5,55.8,31.4,21.3,24.5,86.7,4.3,32.3,36.5,23.3,16.5,11,5.8,5.8,22.5,21.8,-5.5
8,LA Clippers,4,2,2,0.5,49.3,117,39.5,87.5,45.1,14.5,37.3,38.9,23.5,30.3,77.7,9.5,39.5,49,22.5,13.3,7.5,2.3,3,21.3,24.5,4
8,Los Angeles Lakers,4,2,2,0.5,48,108.8,38.8,87.3,44.4,11.3,34.3,32.8,20,28.3,70.8,12.5,30,42.5,23.8,13.5,6.8,2.8,2.8,21.8,22,-7
8,Memphis Grizzlies,4,2,2,0.5,48,113.3,42,88.3,47.6,9.5,30.8,30.9,19.8,24.8,79.8,9.5,39.5,49,28.3,14.5,5.8,3.5,4.5,19.8,22.3,6.3
8,Miami Heat,4,2,2,0.5,48,110.3,39,86.5,45.1,13.3,41,32.3,19,24,79.2,9,35.8,44.8,27,13.5,8.5,7.8,3.8,21,21.3,4.3
8,Milwaukee Bucks,4,2,2,0.5,48,117.8,38.8,83.5,46.4,14.8,43,34.3,25.5,32.5,78.5,7.5,41,48.5,26.3,16.8,5.8,5.3,4.5,21.8,27.3,2.5
8,New Orleans Pelicans,4,2,2,0.5,48,111,40.3,90,44.7,11.5,31.3,36.8,19,26.3,72.4,12.5,34.3,46.8,25.5,19,7.8,4,6.5,22.5,27.3,2.5
8,Orlando Magic,4,2,2,0.5,48,115,39.5,84,47,12.8,32.5,39.2,23.3,30,77.5,9.5,33.3,42.8,23.8,15,8.3,3.3,2.5,24.3,22.8,0
8,Philadelphia 76ers,4,2,2,0.5,48,119.5,42.3,89.3,47.3,13.5,33.3,40.6,21.5,27.5,78.2,10.8,31,41.8,25,12,6,6,4.5,23.5,22,-2
8,Sacramento Kings,4,2,2,0.5,49.3,118.5,44.3,93,47.6,13.3,34.8,38.1,16.8,21,79.8,10,33,43,27,14.5,8,3.5,3.5,25.3,20.8,0
8,Utah Jazz,4,2,2,0.5,48,116,40.3,87.5,46,16.5,45,36.7,19,22,86.4,10.3,32,42.3,25.8,15,6.3,4.5,4.3,23.5,23.8,-0.3
20,Dallas Mavericks,4,1,3,0.25,50.5,131.8,44.8,97,46.1,18.8,48.5,38.7,23.5,29.3,80.3,9.3,36.5,45.8,29.8,13,5,3.8,6.3,25.5,27.3,-4.5
20,Denver Nuggets,4,1,3,0.25,50.5,116.3,44.3,92,48.1,11,33.8,32.6,16.8,22.5,74.4,11.3,32.8,44,30,14.5,6.5,3.5,3.3,24.3,25.3,-10.3
22,Washington Wizards,4,0,4,0,48,105.8,39.5,91.3,43.3,9.5,27,35.2,17.3,22.5,76.7,9.3,34,43.3,21.8,14.3,5.8,4.3,4.5,23.5,21.5,-11.5
