,Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-'
1,Phoenix Suns,8,8,0,1,48,122.3,44.5,90,49.4,13,32.4,40.2,20.3,22.5,90,9.4,37.8,47.1,27.6,12.1,6.5,3.6,4.3,21.3,21,13.1
2,Toronto Raptors,8,7,1,0.875,48,110.9,37.6,83.3,45.2,14.4,36.8,39.1,21.3,27.8,76.6,8.4,38.5,46.9,24,17.9,8.9,5.3,7,22.9,23.6,4.5
3,Indiana Pacers,8,6,2,0.75,48,110.3,41.9,89.1,47,11.9,32.4,36.7,14.6,18.6,78.5,7.9,34.8,42.6,25.3,14.3,9.1,5.3,5.5,21.4,20.3,2.1
3,Portland Trail Blazers,8,6,2,0.75,48.6,126,44.9,93.9,47.8,15.4,37.1,41.4,20.9,24.8,84.3,11,33,44,24,11,8,5,4.1,24.3,23.3,2.6
5,Boston Celtics,8,5,3,0.625,48.6,118.9,42.1,89.1,47.3,13.9,37.1,37.4,20.8,25.9,80.2,10.6,36.3,46.9,24.5,15.3,8.3,6,5,23.1,21.1,7.4
5,Brooklyn Nets,8,5,3,0.625,48,119.9,43.8,91.9,47.6,14.6,40.4,36.2,17.8,23.4,75.9,9,34.3,43.3,27.8,13.3,6.4,3.9,4.6,23.5,23.3,0
5,LA Clippers,8,5,3,0.625,48.6,117.6,41,85.8,47.8,14.6,35.9,40.8,21,26.9,78.1,8.3,37,45.3,22.8,13.1,6.9,2.5,3,22.9,23.4,5.9
5,San Antonio Spurs,8,5,3,0.625,48,121.1,43.3,89,48.6,11.1,26.5,42,23.5,28.8,81.7,10.6,35.8,46.4,25.6,15.3,8,5.6,4.1,20.6,23.1,4
9,Houston Rockets,8,4,4,0.5,48.6,115.3,38,88.6,42.9,17.5,53.6,32.6,21.8,26.5,82.1,5.1,34,39.1,22.8,14.8,10.8,5.3,4.9,23,23.3,-3.4
9,Oklahoma City Thunder,8,4,4,0.5,49.3,107.6,37.6,88.6,42.5,13,36.6,35.5,19.4,24.8,78.3,9.5,35.3,44.8,20.3,15.6,7.9,4,3.5,23.1,22.4,-1.8
9,Philadelphia 76ers,8,4,4,0.5,48,120.1,43.6,89.5,48.7,13.3,31.9,41.6,19.6,25.4,77.3,11.4,33.9,45.3,25.3,14.3,6.9,5,5.4,23.4,21.6,3.8
12,Dallas Mavericks,8,3,5,0.375,49.9,122.5,42.1,93.1,45.2,13.8,39.5,34.8,24.5,29.9,82,9.9,36.4,46.3,26.1,12,5.1,3.6,5.3,23.3,26,-4.3
12,Denver Nuggets,8,3,5,0.375,49.9,118.5,43.8,88.8,49.3,11.8,32.1,36.6,19.3,24.5,78.6,10.9,32.1,43,28.5,14.4,7.1,4.4,4,22.8,24.4,-4.8
12,Los Angeles Lakers,8,3,5,0.375,48,106.4,37.8,86.3,43.8,9.9,32.6,30.3,21,29,72.4,11.1,31.4,42.5,21.6,15.8,8.9,4.8,3.5,21.5,24.3,-7
12,Miami Heat,8,3,5,0.375,48,111.1,38,84.3,45.1,13.9,39.9,34.8,21.3,25.9,82.1,8.5,34.5,43,25.4,15,8.4,5.1,3.4,22.3,23,0.6
12,Milwaukee Bucks,8,3,5,0.375,48.6,118.9,41.3,88.8,46.5,14.3,41.3,34.5,22.1,29.8,74.4,9.3,42.3,51.5,25.5,16.6,5.8,4.9,3.6,23,25,0.3
12,Orlando Magic,8,3,5,0.375,48.6,114.6,40.1,86.9,46.2,12.1,34.3,35.4,22.3,27.8,80.2,9.6,34.8,44.4,23.5,14.6,7,3,3.3,23.9,21.5,-1.4
12,Sacramento Kings,8,3,5,0.375,48.6,119,45,92.8,48.5,13.3,36.5,36.3,15.8,20.3,77.8,9.9,33.5,43.4,27,15.1,8.5,2.8,3.3,24.4,20.8,-3
12,Utah Jazz,8,3,5,0.375,49.3,113.4,39.6,89.6,44.2,15,42.1,35.6,19.1,23,83.2,11.3,32.1,43.4,24.5,16.9,7.6,4.5,4.6,23.4,22.9,-3.1
20,Memphis Grizzlies,8,2,6,0.25,48.6,112.6,40.9,90.1,45.4,11,34.8,31.7,19.9,25.6,77.6,9.4,35.8,45.1,26,15.1,7,4.4,4.9,24,23.9,-1
20,New Orleans Pelicans,8,2,6,0.25,48,113.1,42,87,48.3,10.8,30.9,34.8,18.4,25.3,72.8,9.8,32.6,42.4,25.5,17.9,6.6,3.8,4.9,22.4,25.1,-5
22,Washington Wizards,8,1,7,0.125,48,104.9,38.5,90.4,42.6,9.5,28.5,33.3,18.4,23.3,79,11,33.9,44.9,22.5,15,6.9,4.5,5,23.6,20.8,-9.6
