TEAM,MATCH UP,GAME DATE,FBPS,"OPP
FBPS"
LAL,LAL vs. PHX,01/01/2020,17,19
WAS,WAS vs. ORL,01/01/2020,15,13
ORL,ORL @ WAS,01/01/2020,13,15
POR,POR @ NYK,01/01/2020,3,9
MIN,MIN @ MIL,01/01/2020,11,20
PHX,PHX @ LAL,01/01/2020,19,17
NYK,NYK vs. POR,01/01/2020,9,3
MIL,MIL vs. MIN,01/01/2020,20,11
DAL,DAL vs. BKN,01/02/2020,19,17
CHA,CHA @ CLE,01/02/2020,10,12
CLE,CLE vs. CHA,01/02/2020,12,10
OKC,OKC @ SAS,01/02/2020,16,14
MIA,MIA vs. TOR,01/02/2020,4,2
CHI,CHI vs. UTA,01/02/2020,9,5
SAC,SAC vs. MEM,01/02/2020,23,23
SAS,SAS vs. OKC,01/02/2020,14,16
MIN,MIN vs. GSW,01/02/2020,10,6
GSW,GSW @ MIN,01/02/2020,6,10
LAC,LAC vs. DET,01/02/2020,17,24
BKN,BKN @ DAL,01/02/2020,17,19
IND,IND vs. DEN,01/02/2020,11,18
DET,DET @ LAC,01/02/2020,24,17
DEN,DEN @ IND,01/02/2020,18,11
TOR,TOR @ MIA,01/02/2020,2,4
MEM,MEM @ SAC,01/02/2020,23,23
UTA,UTA @ CHI,01/02/2020,5,9
MIA,MIA @ ORL,01/03/2020,8,9
ATL,ATL @ BOS,01/03/2020,21,25
PHI,PHI @ HOU,01/03/2020,18,20
BOS,BOS vs. ATL,01/03/2020,25,21
NYK,NYK @ PHX,01/03/2020,5,20
NOP,NOP @ LAL,01/03/2020,27,24
POR,POR @ WAS,01/03/2020,13,11
HOU,HOU vs. PHI,01/03/2020,20,18
PHX,PHX vs. NYK,01/03/2020,20,5
LAL,LAL vs. NOP,01/03/2020,24,27
WAS,WAS vs. POR,01/03/2020,11,13
ORL,ORL vs. MIA,01/03/2020,9,8
WAS,WAS vs. DEN,01/04/2020,13,10
UTA,UTA @ ORL,01/04/2020,10,6
DAL,DAL vs. CHA,01/04/2020,17,15
ORL,ORL vs. UTA,01/04/2020,6,10
SAC,SAC vs. NOP,01/04/2020,14,17
GSW,GSW vs. DET,01/04/2020,11,11
BKN,BKN vs. TOR,01/04/2020,12,18
SAS,SAS @ MIL,01/04/2020,4,17
CLE,CLE vs. OKC,01/04/2020,7,10
NOP,NOP @ SAC,01/04/2020,17,14
ATL,ATL vs. IND,01/04/2020,10,10
BOS,BOS @ CHI,01/04/2020,22,20
LAC,LAC vs. MEM,01/04/2020,14,24
IND,IND @ ATL,01/04/2020,10,10
CHA,CHA @ DAL,01/04/2020,15,17
DEN,DEN @ WAS,01/04/2020,10,13
MIL,MIL vs. SAS,01/04/2020,17,4
MEM,MEM @ LAC,01/04/2020,24,14
DET,DET @ GSW,01/04/2020,11,11
TOR,TOR @ BKN,01/04/2020,18,12
CHI,CHI vs. BOS,01/04/2020,20,22
OKC,OKC @ CLE,01/04/2020,10,7
DET,DET @ LAL,01/05/2020,11,24
MIN,MIN @ CLE,01/05/2020,8,6
MIA,MIA vs. POR,01/05/2020,16,10
LAC,LAC vs. NYK,01/05/2020,12,23
NYK,NYK @ LAC,01/05/2020,23,12
CLE,CLE vs. MIN,01/05/2020,6,8
POR,POR @ MIA,01/05/2020,10,16
PHX,PHX vs. MEM,01/05/2020,16,16
MEM,MEM @ PHX,01/05/2020,16,16
LAL,LAL vs. DET,01/05/2020,24,11
MIL,MIL @ SAS,01/06/2020,22,2
UTA,UTA @ NOP,01/06/2020,18,8
BKN,BKN @ ORL,01/06/2020,10,13
IND,IND @ CHA,01/06/2020,12,8
CHA,CHA vs. IND,01/06/2020,8,12
GSW,GSW @ SAC,01/06/2020,18,13
ATL,ATL vs. DEN,01/06/2020,13,5
PHI,PHI vs. OKC,01/06/2020,9,24
DAL,DAL vs. CHI,01/06/2020,9,27
OKC,OKC @ PHI,01/06/2020,24,9
NOP,NOP vs. UTA,01/06/2020,8,18
WAS,WAS vs. BOS,01/06/2020,12,17
BOS,BOS @ WAS,01/06/2020,17,12
