TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-'
UTA,UTA @ DEN,08/17/2020,L,265,125,46,97,47.4,16,47,34,17,23,73.9,16,36,52,18,6,4,16,22,-10
TOR,TOR vs. BKN,08/17/2020,W,240,134,40,85,47.1,22,44,50,32,33,97,9,38,47,26,4,6,12,22,24
PHI,PHI @ BOS,08/17/2020,L,240,101,37,80,46.3,9,27,33.3,18,23,78.3,15,35,50,23,5,3,18,24,-8
LAC,LAC vs. DAL,08/17/2020,W,240,118,45,95,47.4,13,38,34.2,15,20,75,11,34,45,18,12,3,12,24,8
DEN,DEN vs. UTA,08/17/2020,W,265,135,49,95,51.6,22,41,53.7,15,18,83.3,8,33,41,23,10,6,12,22,10
DAL,DAL @ LAC,08/17/2020,L,240,110,37,81,45.7,15,43,34.9,21,24,87.5,5,36,41,18,9,2,21,21,-8
BKN,BKN @ TOR,08/17/2020,L,240,110,43,92,46.7,13,42,31,11,16,68.8,9,36,45,33,4,2,14,29,-24
BOS,BOS vs. PHI,08/17/2020,W,240,109,38,90,42.2,10,31,32.3,23,26,88.5,16,27,43,22,12,4,7,21,8
POR,POR @ LAL,08/18/2020,W,240,100,31,79,39.2,13,34,38.2,25,33,75.8,5,45,50,18,3,8,16,28,7
ORL,ORL @ MIL,08/18/2020,W,240,122,44,89,49.4,16,41,39,18,19,94.7,4,44,48,29,6,2,15,26,12
OKC,OKC @ HOU,08/18/2020,L,240,108,37,84,44,13,35,37.1,21,25,84,7,39,46,22,2,3,13,20,-15
MIL,MIL vs. ORL,08/18/2020,L,240,110,39,90,43.3,14,42,33.3,18,28,64.3,11,36,47,28,6,3,16,19,-12
MIA,MIA @ IND,08/18/2020,W,240,113,40,81,49.4,13,35,37.1,20,25,80,6,29,35,22,8,7,9,17,12
LAL,LAL vs. POR,08/18/2020,L,240,93,34,97,35.1,5,32,15.6,20,31,64.5,17,38,55,22,11,4,10,23,-7
IND,IND vs. MIA,08/18/2020,L,240,101,36,76,47.4,10,24,41.7,19,22,86.4,7,30,37,22,7,4,15,23,-12
HOU,HOU vs. OKC,08/18/2020,W,240,123,43,89,48.3,20,52,38.5,17,19,89.5,4,32,36,25,4,1,7,26,15
UTA,UTA @ DEN,08/19/2020,W,240,124,45,87,51.7,20,44,45.5,14,17,82.4,11,25,36,32,5,7,8,18,19
TOR,TOR vs. BKN,08/19/2020,W,240,104,38,87,43.7,9,35,25.7,19,28,67.9,8,36,44,22,7,6,9,21,5
PHI,PHI @ BOS,08/19/2020,L,240,101,33,79,41.8,5,21,23.8,30,37,81.1,6,32,38,21,2,3,9,21,-27
LAC,LAC vs. DAL,08/19/2020,L,240,114,37,84,44,10,34,29.4,30,39,76.9,9,38,47,16,4,2,15,29,-13
DEN,DEN vs. UTA,08/19/2020,L,240,105,37,81,45.7,13,27,48.1,18,23,78.3,13,28,41,22,1,4,12,19,-19
DAL,DAL @ LAC,08/19/2020,W,240,127,44,88,50,13,29,44.8,26,37,70.3,8,41,49,25,5,4,9,29,13
BKN,BKN @ TOR,08/19/2020,L,240,99,33,85,38.8,14,41,34.1,19,27,70.4,7,39,46,25,3,6,17,25,-5
BOS,BOS vs. PHI,08/19/2020,W,240,128,44,86,51.2,19,43,44.2,21,29,72.4,10,33,43,20,4,5,7,28,27
POR,POR @ LAL,08/20/2020,L,240,88,34,85,40,8,29,27.6,12,16,75,10,31,41,14,6,3,17,17,-23
ORL,ORL @ MIL,08/20/2020,L,240,96,31,89,34.8,7,33,21.2,27,31,87.1,10,32,42,18,9,5,12,18,-15
OKC,OKC @ HOU,08/20/2020,L,240,98,35,79,44.3,11,32,34.4,17,19,89.5,8,40,48,15,2,4,14,19,-13
MIL,MIL vs. ORL,08/20/2020,W,240,111,42,89,47.2,15,41,36.6,12,16,75,11,46,57,26,5,4,21,26,15
MIA,MIA @ IND,08/20/2020,W,240,109,36,76,47.4,18,35,51.4,19,28,67.9,7,34,41,27,9,4,17,15,9
LAL,LAL vs. POR,08/20/2020,W,240,111,44,92,47.8,14,38,36.8,9,10,90,14,36,50,26,9,3,14,22,23
IND,IND vs. MIA,08/20/2020,L,240,100,36,81,44.4,12,34,35.3,16,20,80,4,34,38,25,12,7,17,23,-9
HOU,HOU vs. OKC,08/20/2020,W,240,111,38,91,41.8,19,56,33.9,16,18,88.9,11,30,41,21,8,3,7,19,13
UTA,UTA vs. DEN,08/21/2020,W,240,124,43,84,51.2,18,37,48.6,20,26,76.9,13,37,50,27,9,2,11,20,37
TOR,TOR @ BKN,08/21/2020,W,240,117,46,91,50.5,18,38,47.4,7,11,63.6,8,48,56,35,8,4,16,21,25
PHI,PHI vs. BOS,08/21/2020,L,240,94,28,95,29.5,9,39,23.1,29,34,85.3,20,37,57,14,6,7,13,19,-8
LAC,LAC @ DAL,08/21/2020,W,240,130,47,90,52.2,14,34,41.2,22,27,81.5,8,36,44,24,7,4,7,24,8
DEN,DEN @ UTA,08/21/2020,L,240,87,33,88,37.5,12,38,31.6,9,11,81.8,16,29,45,20,2,5,17,24,-37
