TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-'
UTA,UTA @ NOP,07/30/2020,W,240,106,37,84,44,8,34,23.5,24,28,85.7,12,31,43,17,11,6,20,23,2
NOP,NOP vs. UTA,07/30/2020,L,240,104,40,94,42.6,11,31,35.5,13,18,72.2,15,30,45,22,12,2,21,25,-2
LAL,LAL vs. LAC,07/30/2020,W,240,103,32,82,39,11,36,30.6,28,37,75.7,11,34,45,21,6,3,16,27,2
LAC,LAC @ LAL,07/30/2020,L,240,101,32,74,43.2,16,36,44.4,21,28,75,4,32,36,17,6,5,22,30,-2
WAS,WAS vs. PHX,07/31/2020,L,240,112,42,91,46.2,8,22,36.4,20,23,87,8,28,36,18,7,2,18,26,-13
SAS,SAS vs. SAC,07/31/2020,W,240,129,48,90,53.3,11,25,44,22,27,81.5,9,33,42,32,6,4,15,17,9
SAC,SAC @ SAS,07/31/2020,L,240,120,46,95,48.4,12,38,31.6,16,20,80,8,34,42,22,11,2,18,25,-9
POR,POR vs. MEM,07/31/2020,W,265,140,49,91,53.8,13,30,43.3,29,34,85.3,9,33,42,27,10,9,17,36,5
PHX,PHX @ WAS,07/31/2020,W,240,125,42,80,52.5,11,32,34.4,30,32,93.8,4,33,37,29,10,3,18,24,13
ORL,ORL @ BKN,07/31/2020,W,240,128,46,87,52.9,11,31,35.5,25,28,89.3,6,36,42,31,8,3,14,23,10
MIL,MIL vs. BOS,07/31/2020,W,240,119,39,84,46.4,13,41,31.7,28,34,82.4,7,40,47,25,9,7,15,26,7
MEM,MEM @ POR,07/31/2020,L,265,135,42,93,45.2,13,41,31.7,38,50,76,10,29,39,25,9,5,13,26,-5
HOU,HOU @ DAL,07/31/2020,W,265,153,52,101,51.5,19,48,39.6,30,39,76.9,7,36,43,26,12,10,9,31,4
DAL,DAL vs. HOU,07/31/2020,L,265,149,50,105,47.6,21,49,42.9,28,38,73.7,13,42,55,30,7,4,20,36,-4
BKN,BKN vs. ORL,07/31/2020,L,240,118,44,91,48.4,13,42,31,17,23,73.9,10,29,39,30,4,2,14,25,-10
BOS,BOS @ MIL,07/31/2020,L,240,112,37,91,40.7,11,37,29.7,27,34,79.4,14,34,48,18,8,5,16,28,-7
UTA,UTA @ OKC,08/01/2020,L,240,94,34,87,39.1,8,31,25.8,18,22,81.8,12,23,35,17,11,4,16,21,-16
TOR,TOR vs. LAL,08/01/2020,W,240,107,35,84,41.7,14,34,41.2,23,26,88.5,7,44,51,24,7,5,18,28,15
PHI,PHI @ IND,08/01/2020,L,240,121,46,93,49.5,9,25,36,20,25,80,20,35,55,20,6,5,21,30,-6
OKC,OKC vs. UTA,08/01/2020,W,240,110,41,77,53.2,10,26,38.5,18,24,75,11,36,47,19,9,8,22,21,16
NOP,NOP @ LAC,08/01/2020,L,240,103,38,85,44.7,9,30,30,18,28,64.3,9,39,48,24,4,1,18,23,-23
MIA,MIA @ DEN,08/01/2020,W,240,125,40,72,55.6,13,29,44.8,32,37,86.5,6,32,38,29,7,2,16,28,20
LAL,LAL @ TOR,08/01/2020,L,240,92,29,82,35.4,10,40,25,24,33,72.7,8,32,40,17,8,12,18,25,-15
LAC,LAC vs. NOP,08/01/2020,W,240,126,37,87,42.5,25,47,53.2,27,35,77.1,8,40,48,23,10,2,10,28,23
IND,IND vs. PHI,08/01/2020,W,240,127,48,95,50.5,14,34,41.2,17,23,73.9,10,24,34,31,8,5,10,25,6
DEN,DEN vs. MIA,08/01/2020,L,240,105,39,89,43.8,8,35,22.9,19,24,79.2,13,25,38,28,7,2,19,32,-20
WAS,WAS @ BKN,08/02/2020,L,240,110,40,88,45.5,9,31,29,21,27,77.8,10,36,46,26,6,6,13,31,-8
SAS,SAS @ MEM,08/02/2020,W,240,108,36,86,41.9,12,29,41.4,24,33,72.7,12,37,49,22,5,6,17,20,2
SAC,SAC @ ORL,08/02/2020,L,240,116,45,91,49.5,8,28,28.6,18,22,81.8,9,30,39,30,10,0,15,28,-16
POR,POR @ BOS,08/02/2020,L,240,124,45,90,50,19,42,45.2,15,16,93.8,9,26,35,31,8,5,12,25,-4
PHX,PHX vs. DAL,08/02/2020,W,240,117,42,93,45.2,12,33,36.4,21,23,91.3,6,43,49,22,5,4,11,29,2
ORL,ORL vs. SAC,08/02/2020,W,240,132,43,82,52.4,18,38,47.4,28,35,80,12,34,46,31,10,4,18,25,16
MIL,MIL @ HOU,08/02/2020,L,240,116,45,92,48.9,9,35,25.7,17,23,73.9,17,48,65,21,6,6,23,23,-4
MEM,MEM vs. SAS,08/02/2020,L,240,106,42,91,46.2,7,30,23.3,15,18,83.3,3,36,39,27,5,3,12,27,-2
HOU,HOU vs. MIL,08/02/2020,W,240,120,36,91,39.6,21,61,34.4,27,31,87.1,6,30,36,22,15,3,9,24,4
DAL,DAL @ PHX,08/02/2020,L,240,115,38,93,40.9,6,31,19.4,33,37,89.2,10,39,49,22,8,5,8,22,-2
BKN,BKN vs. WAS,08/02/2020,W,240,118,38,90,42.2,11,33,33.3,31,37,83.8,13,35,48,23,5,4,11,24,8
